TX ID,Product,Quantity,Unit Price,Amount,Order Date,Ship Date,Customer Gender,Order Mode,Rating C,State,County,Days to Deliver,Weeknum,Gender Value
TX500091,Sundresses,5,54.7,273.5,4-Jan-25,7-Jan-25,,App,5,California,Riverside County,3,1,Unknown
TX500092,Sneakers,6,130.5,783,4-Jan-25,6-Jan-25,F,App,3,California,Riverside County,2,1,Female
TX500093,Maxi Dresses,2,50.4,100.8,4-Jan-25,6-Jan-25,M,Target.com,5,California,Sacramento County,2,1,Male
TX500094,Jeans,13,61.5,799.5,4-Jan-25,5-Jan-25,,Instagram,3,California,Santa Clara County,1,1,Unknown
TX500095,Sundresses,4,30.1,120.4,4-Jan-25,5-Jan-25,F,App,5,California,Alameda County,1,1,Female
TX500096,Sneakers,5,74.8,374,4-Jan-25,5-Jan-25,F,Website,4,California,Contra Costa County,1,1,Female
TX500097,Sunglasses,3,64.9,194.7,4-Jan-25,11-Jan-25,M,App,4,California,Fresno County,7,1,Male
TX500098,Sundresses,2,50.5,101,4-Jan-25,6-Jan-25,M,Website,4,California,Kern County,2,1,Male
TX500099,Maxi Dresses,7,63,441,4-Jan-25,7-Jan-25,M,Instagram,5,California,Los Angeles County,3,1,Male
TX500100,Sneakers,3,93.6,280.8,4-Jan-25,17-Jan-25,F,App,5,California,Los Angeles County,13,1,Female
TX500101,Sandals,30,41.4,1242,4-Jan-25,8-Jan-25,M,Target.com,5,California,Los Angeles County,4,1,Male
TX500102,Sneakers,2,160,320,5-Jan-25,6-Jan-25,M,Target.com,5,California,Placer County,1,2,Male
TX500103,Jewelry,11,10.5,115.5,5-Jan-25,8-Jan-25,F,Partner App,4,California,San Diego County,3,2,Female
TX500104,Bikinis,2,53,106,5-Jan-25,5-Jan-25,M,Target.com,2,California,San Francisco,0,2,Male
TX500105,T-Shirts,3,18.5,55.5,5-Jan-25,10-Jan-25,F,Website,5,California,Santa Clara County,5,2,Female
TX500106,Sunglasses,3,84.5,253.5,5-Jan-25,7-Jan-25,F,Partner App,3,California,Ventura County,2,2,Female
TX500107,Crop Tops,7,31.2,218.4,5-Jan-25,5-Jan-25,F,Target.com,5,California,Los Angeles County,0,2,Female
TX500108,T-Shirts,18,32.6,586.8,5-Jan-25,6-Jan-25,M,Website,3,California,Los Angeles County,1,2,Male
TX500109,Bikinis,4,45.4,181.6,5-Jan-25,7-Jan-25,M,Website,4,California,Los Angeles County,2,2,Male
TX500110,Sneakers,12,120,1440,5-Jan-25,6-Jan-25,F,Target.com,2,California,Los Angeles County,1,2,Female
TX500111,Shorts,4,18.9,75.6,5-Jan-25,7-Jan-25,M,App,5,California,Los Angeles County,2,2,Male
TX500112,Graphic Tees,1,32,32,5-Jan-25,7-Jan-25,F,Partner App,4,California,Los Angeles County,2,2,Female
TX500113,Hoodies & Sweatshirts,2,37.3,74.6,5-Jan-25,6-Jan-25,M,Target.com,4,California,Los Angeles County,1,2,Male
TX500114,Leggings,1,119.8,119.8,5-Jan-25,6-Jan-25,M,Website,3,California,Los Angeles County,1,2,Male
TX500115,Bikinis,2,26.4,52.8,5-Jan-25,8-Jan-25,M,Target.com,4,California,Los Angeles County,3,2,Male
TX500116,Jeans,6,76.5,459,5-Jan-25,6-Jan-25,F,Website,3,California,Los Angeles County,1,2,Female
TX500117,Graphic Tees,10,45.7,457,5-Jan-25,6-Jan-25,F,Target.com,4,California,Merced County,1,2,Female
TX500118,Tank Tops,12,92.6,1111.2,5-Jan-25,7-Jan-25,F,Target.com,4,California,Orange County,2,2,Female
TX500119,Jeans,6,60.1,360.6,5-Jan-25,6-Jan-25,M,Website,4,California,Riverside County,1,2,Male
TX500120,Tank Tops,3,73,219,5-Jan-25,6-Jan-25,F,Instagram,3,California,Sacramento County,1,2,Female
TX500121,Jeans,3,44.3,132.9,5-Jan-25,9-Jan-25,,Target.com,5,California,Sacramento County,4,2,Unknown
TX500122,Jeans,3,63.3,189.9,5-Jan-25,6-Jan-25,M,Target.com,4,California,Sacramento County,1,2,Male
TX500123,Casual Dresses,1,66.8,66.8,5-Jan-25,6-Jan-25,F,Website,4,California,Sacramento County,1,2,Female
TX500124,Sneakers,2,59.7,119.4,5-Jan-25,6-Jan-25,F,App,4,California,San Bernardino County,1,2,Female
TX500125,Tank Tops,6,92,552,5-Jan-25,7-Jan-25,M,App,2,California,San Bernardino County,2,2,Male
TX500126,Hoodies & Sweatshirts,2,87.6,175.2,5-Jan-25,7-Jan-25,M,Website,3,California,San Diego County,2,2,Male
TX500127,Jeans,3,84.5,253.5,5-Jan-25,6-Jan-25,F,Website,3,California,San Diego County,1,2,Female
TX500128,Tank Tops,2,116.3,232.6,6-Jan-25,8-Jan-25,M,Target.com,5,California,San Diego County,2,2,Male
TX500129,Jeans,5,52.7,263.5,6-Jan-25,10-Jan-25,M,App,4,California,San Diego County,4,2,Male
TX500130,Sunglasses,3,34.2,102.6,6-Jan-25,7-Jan-25,M,App,5,California,San Joaquin County,1,2,Male
TX500131,Sundresses,1,23.3,23.3,6-Jan-25,15-Jan-25,O,Target.com,5,California,San Mateo County,9,2,Other
TX500132,Shorts,26,25.9,673.4,6-Jan-25,9-Jan-25,F,Partner App,3,California,San Mateo County,3,2,Female
TX500133,Jeans,29,54.9,1592.1,6-Jan-25,7-Jan-25,M,Website,5,California,San Mateo County,1,2,Male
TX500134,Sandals,3,75.8,227.4,6-Jan-25,11-Jan-25,O,Website,4,California,Sonoma County,5,2,Other
TX500135,Tank Tops,9,44.9,404.1,6-Jan-25,9-Jan-25,F,Target.com,5,California,Fresno County,3,2,Female
TX500136,Maxi Dresses,2,48.8,97.6,6-Jan-25,8-Jan-25,F,Instagram,4,California,Glenn County,2,2,Female
TX500137,Crop Tops,1,20.3,20.3,6-Jan-25,7-Jan-25,F,App,5,California,Kern County,1,2,Female
TX500138,Sandals,7,36.4,254.8,6-Jan-25,9-Jan-25,F,App,3,California,Los Angeles County,3,2,Female
TX500139,Shorts,1,19,19,6-Jan-25,11-Jan-25,F,Website,5,California,Los Angeles County,5,2,Female
TX500140,T-Shirts,1,17.8,17.8,6-Jan-25,6-Jan-25,M,App,4,California,Los Angeles County,0,2,Male
TX500141,Sneakers,6,139.6,837.6,6-Jan-25,9-Jan-25,M,App,4,California,Los Angeles County,3,2,Male
TX500142,Sundresses,1,31.7,31.7,6-Jan-25,6-Jan-25,,App,4,California,Los Angeles County,0,2,Unknown
TX500143,T-Shirts,8,26.3,210.4,6-Jan-25,9-Jan-25,F,Partner App,2,California,Los Angeles County,3,2,Female
TX500144,Graphic Tees,2,47.8,95.6,6-Jan-25,7-Jan-25,,App,4,California,Los Angeles County,1,2,Unknown
TX500145,Sundresses,3,69.4,208.2,6-Jan-25,10-Jan-25,F,App,4,California,Los Angeles County,4,2,Female
TX500146,Leggings,12,25.8,309.6,6-Jan-25,7-Jan-25,M,Partner App,2,California,Los Angeles County,1,2,Male
TX500147,Shorts,4,26.4,105.6,6-Jan-25,7-Jan-25,M,Website,5,California,Los Angeles County,1,2,Male
TX500148,T-Shirts,4,15.7,62.8,6-Jan-25,7-Jan-25,M,Target.com,4,California,Los Angeles County,1,2,Male
TX500149,T-Shirts,1,39.7,39.7,6-Jan-25,10-Jan-25,M,App,4,California,Los Angeles County,4,2,Male
TX500150,Bikinis,4,31.1,124.4,6-Jan-25,8-Jan-25,F,Target.com,3,California,Los Angeles County,2,2,Female
TX500151,Tote Bags,15,23.4,351,6-Jan-25,15-Jan-25,M,App,4,California,Los Angeles County,9,2,Male
TX500152,Tank Tops,4,57.1,228.4,7-Jan-25,8-Jan-25,M,Target.com,4,California,Orange County,1,2,Male
TX500153,Sneakers,5,89.9,449.5,7-Jan-25,7-Jan-25,F,App,1,California,Riverside County,0,2,Female
TX500154,Bikinis,7,48.1,336.7,7-Jan-25,9-Jan-25,F,Website,5,California,Sacramento County,2,2,Female
TX500155,T-Shirts,2,29.3,58.6,7-Jan-25,7-Jan-25,F,Website,3,California,Sacramento County,0,2,Female
TX500156,T-Shirts,4,28.8,115.2,7-Jan-25,8-Jan-25,F,App,2,California,Sacramento County,1,2,Female
TX500157,Bikinis,5,40.5,202.5,7-Jan-25,11-Jan-25,F,Instagram,4,California,Sacramento County,4,2,Female
TX500158,Leggings,14,65.1,911.4,7-Jan-25,8-Jan-25,F,Partner App,4,California,San Bernardino County,1,2,Female
TX500159,T-Shirts,4,40.3,161.2,7-Jan-25,12-Jan-25,F,Target.com,4,California,San Bernardino County,5,2,Female
TX500160,Jeans,5,51.8,259,7-Jan-25,8-Jan-25,M,Target.com,5,California,San Diego County,1,2,Male
TX500161,Jeans,3,61.3,183.9,7-Jan-25,8-Jan-25,F,Instagram,4,California,San Diego County,1,2,Female
TX500162,Sneakers,4,122.5,490,7-Jan-25,8-Jan-25,M,App,4,California,San Diego County,1,2,Male
TX500163,Shorts,9,12.5,112.5,7-Jan-25,8-Jan-25,,Website,5,California,San Diego County,1,2,Unknown
TX500164,Crop Tops,8,37.5,300,7-Jan-25,8-Jan-25,F,App,4,California,San Mateo County,1,2,Female
TX500165,Jeans,3,40,120,7-Jan-25,10-Jan-25,M,App,2,California,Santa Clara County,3,2,Male
TX500166,Pajama Sets,8,38.5,308,7-Jan-25,12-Jan-25,F,Target.com,3,California,Santa Clara County,5,2,Female
TX500167,Sneakers,2,86.4,172.8,7-Jan-25,9-Jan-25,F,App,4,California,Sonoma County,2,2,Female
TX500168,Bikinis,1,50.7,50.7,7-Jan-25,11-Jan-25,F,Website,4,California,Sonoma County,4,2,Female
TX500169,Bikinis,2,61,122,7-Jan-25,18-Jan-25,F,Partner App,3,California,Sonoma County,11,2,Female
TX500170,Graphic Tees,2,19.9,39.8,7-Jan-25,10-Jan-25,F,Website,4,California,Yolo County,3,2,Female
TX500171,Sandals,1,78.3,78.3,7-Jan-25,7-Jan-25,F,App,5,California,Contra Costa County,0,2,Female
TX500172,Shorts,19,10.4,197.6,7-Jan-25,9-Jan-25,M,App,5,California,Fresno County,2,2,Male
TX500173,Bikinis,1,36.1,36.1,7-Jan-25,10-Jan-25,M,Instagram,5,California,Los Angeles County,3,2,Male
TX500174,Baseball Caps,2,17.3,34.6,7-Jan-25,9-Jan-25,F,Website,5,California,Los Angeles County,2,2,Female
TX500175,Bikinis,2,30.5,61,7-Jan-25,8-Jan-25,F,Website,5,California,Los Angeles County,1,2,Female
TX500176,Leggings,62,70.1,4346.2,7-Jan-25,7-Jan-25,F,Target.com,4,California,Los Angeles County,0,2,Female
TX500177,Workout Tops,1,76.1,76.1,7-Jan-25,7-Jan-25,F,Target.com,3,California,Los Angeles County,0,2,Female
TX500178,Crop Tops,13,34.2,444.6,7-Jan-25,8-Jan-25,M,App,4,California,Los Angeles County,1,2,Male
TX500179,T-Shirts,5,30.3,151.5,7-Jan-25,12-Jan-25,F,Partner App,4,California,Los Angeles County,5,2,Female
TX500180,Jeans,5,52.5,262.5,7-Jan-25,11-Jan-25,,Instagram,4,California,Los Angeles County,4,2,Unknown
TX500181,Sundresses,11,28.7,315.7,7-Jan-25,8-Jan-25,F,Target.com,4,California,Los Angeles County,1,2,Female
TX500182,Hoodies & Sweatshirts,7,52,364,7-Jan-25,8-Jan-25,M,Website,2,California,Los Angeles County,1,2,Male
TX500183,Shorts,1,13.3,13.3,8-Jan-25,12-Jan-25,F,Target.com,3,California,Los Angeles County,4,2,Female
TX500184,Shorts,3,15.7,47.1,8-Jan-25,9-Jan-25,F,Website,4,California,Mendocino County,1,2,Female
TX500185,T-Shirts,2,25.6,51.2,8-Jan-25,9-Jan-25,M,App,5,California,Riverside County,1,2,Male
TX500186,T-Shirts,1,43.4,43.4,8-Jan-25,13-Jan-25,M,App,4,California,Sacramento County,5,2,Male
TX500187,Maxi Dresses,9,33.4,300.6,8-Jan-25,8-Jan-25,F,App,4,California,San Diego County,0,2,Female
TX500188,T-Shirts,19,55,1045,8-Jan-25,9-Jan-25,F,Website,5,California,San Diego County,1,2,Female
TX500189,T-Shirts,3,23.6,70.8,8-Jan-25,9-Jan-25,M,App,5,California,San Diego County,1,2,Male
TX500190,Casual Dresses,9,104,936,8-Jan-25,10-Jan-25,F,Target.com,5,California,San Francisco,2,2,Female
TX500191,Jeans,2,51.8,103.6,8-Jan-25,12-Jan-25,,App,5,California,Santa Barbara County,4,2,Unknown
TX500192,Bikinis,5,34.5,172.5,8-Jan-25,10-Jan-25,,Target.com,5,California,Santa Clara County,2,2,Unknown
TX500193,Jeans,2,51.8,103.6,8-Jan-25,10-Jan-25,M,Website,5,California,Siskiyou County,2,2,Male
TX500194,Leggings,43,131.5,5654.5,8-Jan-25,9-Jan-25,F,App,5,California,Sonoma County,1,2,Female
TX500195,T-Shirts,7,47.8,334.6,8-Jan-25,8-Jan-25,F,App,4,California,Stanislaus County,0,2,Female
TX500196,Shorts,2,10.2,20.4,8-Jan-25,10-Jan-25,F,App,4,California,Stanislaus County,2,2,Female
TX500197,T-Shirts,8,41,328,8-Jan-25,8-Jan-25,F,Website,5,California,Stanislaus County,0,2,Female
TX500198,Bikinis,7,50.8,355.6,8-Jan-25,11-Jan-25,F,Website,4,California,Alameda County,3,2,Female
TX500199,Leggings,3,39.6,118.8,8-Jan-25,9-Jan-25,M,Target.com,5,California,Contra Costa County,1,2,Male
TX500200,Sandals,2,69.5,139,8-Jan-25,10-Jan-25,M,App,5,California,Fresno County,2,2,Male
TX500201,T-Shirts,8,32.6,260.8,8-Jan-25,11-Jan-25,M,Website,4,California,Los Angeles County,3,2,Male
TX500202,Hoodies & Sweatshirts,2,49.1,98.2,8-Jan-25,16-Jan-25,M,Instagram,5,California,Los Angeles County,8,2,Male
TX500203,Jeans,2,49.4,98.8,9-Jan-25,10-Jan-25,F,Target.com,4,California,Los Angeles County,1,2,Female
TX500204,Hoodies & Sweatshirts,7,65.1,455.7,9-Jan-25,12-Jan-25,F,Target.com,5,California,Los Angeles County,3,2,Female
TX500205,Workout Tops,2,52.1,104.2,9-Jan-25,13-Jan-25,F,Target.com,4,California,Los Angeles County,4,2,Female
TX500206,Sneakers,4,129.2,516.8,9-Jan-25,10-Jan-25,F,Website,4,California,Los Angeles County,1,2,Female
TX500207,Tank Tops,19,81.8,1554.2,9-Jan-25,9-Jan-25,F,Website,3,California,Los Angeles County,0,2,Female
TX500208,Pajama Sets,1,24.9,24.9,9-Jan-25,13-Jan-25,F,Website,4,California,Los Angeles County,4,2,Female
TX500209,Shorts,3,49.4,148.2,9-Jan-25,12-Jan-25,F,Partner App,2,California,Los Angeles County,3,2,Female
TX500210,T-Shirts,2,22.7,45.4,9-Jan-25,10-Jan-25,M,Instagram,5,California,Los Angeles County,1,2,Male
TX500211,Tank Tops,1,77.3,77.3,9-Jan-25,9-Jan-25,F,App,5,California,Sacramento County,0,2,Female
TX500212,Tank Tops,5,109.1,545.5,9-Jan-25,12-Jan-25,F,App,4,California,Sacramento County,3,2,Female
TX500213,Sneakers,4,53.9,215.6,9-Jan-25,10-Jan-25,M,App,3,California,San Diego County,1,2,Male
TX500214,Sundresses,26,21.2,551.2,9-Jan-25,9-Jan-25,F,App,4,California,San Mateo County,0,2,Female
TX500215,Sunglasses,4,69,276,9-Jan-25,11-Jan-25,F,Website,3,California,Sonoma County,2,2,Female
TX500216,Jeans,3,46.2,138.6,9-Jan-25,11-Jan-25,F,App,5,California,Sutter County,2,2,Female
TX500217,Tank Tops,5,97.4,487,9-Jan-25,13-Jan-25,F,Partner App,5,California,Alameda County,4,2,Female
TX500218,T-Shirts,5,21,105,9-Jan-25,10-Jan-25,M,App,3,California,Alameda County,1,2,Male
TX500219,Sandals,2,32.7,65.4,10-Jan-25,13-Jan-25,F,Website,4,California,Fresno County,3,2,Female
TX500220,Jeans,4,48,192,10-Jan-25,11-Jan-25,M,Instagram,4,California,Los Angeles County,1,2,Male
TX500221,Jeans,3,68.2,204.6,10-Jan-25,14-Jan-25,,App,5,California,Los Angeles County,4,2,Unknown
TX500222,Sandals,1,45.4,45.4,10-Jan-25,12-Jan-25,M,Website,4,California,Los Angeles County,2,2,Male
TX500223,Casual Dresses,2,53.9,107.8,10-Jan-25,11-Jan-25,F,Target.com,4,California,Los Angeles County,1,2,Female
TX500224,Sneakers,4,62.1,248.4,10-Jan-25,14-Jan-25,F,App,4,California,Nevada County,4,2,Female
TX500225,Tote Bags,7,33.1,231.7,10-Jan-25,15-Jan-25,M,Website,4,California,Sacramento County,5,2,Male
TX500226,Leggings,5,35.2,176,10-Jan-25,10-Jan-25,F,Website,4,California,Sacramento County,0,2,Female
TX500227,Sundresses,3,32.1,96.3,10-Jan-25,15-Jan-25,M,Instagram,4,California,San Diego County,5,2,Male
